BillNo;Itemname;Quantity;Date;Price;CustomerID
200001;Paper Cup;50;02.12.2010 10:00;0,79;18001
200001;Plastic Fork;25;02.12.2010 10:00;0,25;18001
200001;Plastic Plate;10;02.12.2010 10:00;1,99;18001
200002;Paper Cup;40;02.12.2010 10:05;0,79;18002
200002;Plastic Fork;20;02.12.2010 10:05;0,25;18002
200002;Paper Straw;30;02.12.2010 10:05;0,45;18002
200003;Ceramic Mug;5;02.12.2010 10:10;3,75;18003
200003;Heart Mug;5;02.12.2010 10:10;3,95;18003
200004;Paper Cup;60;02.12.2010 10:15;0,79;18004
200004;Plastic Fork;30;02.12.2010 10:15;0,25;18004
200004;Plastic Plate;15;02.12.2010 10:15;1,99;18004
200005;Wooden Spoon;10;02.12.2010 10:20;0,89;18005
200005;Wooden Fork;10;02.12.2010 10:20;0,49;18005
200006;Ceramic Mug;6;02.12.2010 10:25;3,75;18006
200006;Heart Mug;6;02.12.2010 10:25;3,95;18006
200007;Glass Vase;3;02.12.2010 10:30;4,99;18007
200007;Wooden Tray;2;02.12.2010 10:30;5,99;18007
200008;Paper Cup;50;02.12.2010 10:35;0,79;18008
200008;Plastic Fork;25;02.12.2010 10:35;0,25;18008
200009;Ceramic Mug;4;02.12.2010 10:40;3,75;18009
200009;Heart Mug;4;02.12.2010 10:40;3,95;18009
200010;Plastic Knife;20;02.12.2010 10:45;0,35;18010
200010;Paper Straw;40;02.12.2010 10:45;0,45;18010
200011;Paper Cup;45;02.12.2010 10:50;0,79;18011
200011;Plastic Fork;20;02.12.2010 10:50;0,25;18011
200011;Plastic Plate;12;02.12.2010 10:50;1,99;18011
200012;Cotton Napkin;5;02.12.2010 10:55;1,75;18012
200012;Gift Box;2;02.12.2010 10:55;4,50;18012
200013;Ceramic Mug;5;02.12.2010 11:00;3,75;18013
200013;Heart Mug;5;02.12.2010 11:00;3,95;18013
200014;Wooden Coaster;8;02.12.2010 11:05;1,99;18014
200014;Wooden Ornament;3;02.12.2010 11:05;3,99;18014
200015;Paper Cup;55;02.12.2010 11:10;0,79;18015
200015;Plastic Fork;30;02.12.2010 11:10;0,25;18015
200016;Ceramic Teapot;1;02.12.2010 11:15;7,99;18016
200016;Glass Pitcher;1;02.12.2010 11:15;6,99;18016
200017;Metal Straw;10;02.12.2010 11:20;1,50;18017
200017;Glass Jar;4;02.12.2010 11:20;2,79;18017
200018;Paper Cup;50;02.12.2010 11:25;0,79;18018
200018;Plastic Fork;25;02.12.2010 11:25;0,25;18018
200018;Plastic Plate;10;02.12.2010 11:25;1,99;18018
200019;Ceramic Mug;6;02.12.2010 11:30;3,75;18019
200019;Heart Mug;6;02.12.2010 11:30;3,95;18019
200020;Wooden Tray;5;02.12.2010 11:35;5,99;18020
200020;Glass Vase;3;02.12.2010 11:35;4,99;18020
200021;Paper Napkin;80;02.12.2010 11:40;0,15;18021
200021;Plastic Spoon;40;02.12.2010 11:40;0,20;18021
200022;Paper Cup;60;02.12.2010 11:45;0,79;18022
200022;Plastic Fork;30;02.12.2010 11:45;0,25;18022
200023;Scented Candle;6;02.12.2010 11:50;3,99;18023
200023;Ceramic Vase;2;02.12.2010 11:50;8,99;18023
200024;Bamboo Chopsticks;15;02.12.2010 11:55;0,99;18024
200024;Rice Bowl;5;02.12.2010 11:55;2,99;18024
200025;Ceramic Mug;5;02.12.2010 12:00;3,75;18025
200025;Heart Mug;5;02.12.2010 12:00;3,95;18025
200026;Tea Infuser;2;02.12.2010 12:05;2,50;18026
200026;Ceramic Teacup;4;02.12.2010 12:05;2,99;18026
200027;Paper Cup;50;02.12.2010 12:10;0,79;18027
200027;Plastic Fork;25;02.12.2010 12:10;0,25;18027
200027;Plastic Plate;10;02.12.2010 12:10;1,99;18027
200028;Fruit Bowl;2;02.12.2010 12:15;7,50;18028
200028;Salad Servers;1;02.12.2010 12:15;4,99;18028
200029;Wine Glass;10;02.12.2010 12:20;3,99;18029
200029;Bottle Opener;1;02.12.2010 12:20;2,50;18029
200030;Paper Cup;45;02.12.2010 12:25;0,79;18030
200030;Plastic Fork;20;02.12.2010 12:25;0,25;18030
200031;Ceramic Mug;4;02.12.2010 12:30;3,75;18031
200031;Heart Mug;4;02.12.2010 12:30;3,95;18031
200032;Cheese Board;1;02.12.2010 12:35;12,99;18032
200032;Cheese Knife Set;1;02.12.2010 12:35;9,99;18032
200033;Paper Cup;50;02.12.2010 12:40;0,79;18033
200033;Plastic Fork;25;02.12.2010 12:40;0,25;18033
200033;Plastic Plate;10;02.12.2010 12:40;1,99;18033
200034;Wooden Spoon;12;02.12.2010 12:45;0,89;18034
200034;Wooden Fork;12;02.12.2010 12:45;0,49;18034
200035;Ceramic Mug;5;02.12.2010 12:50;3,75;18035
200035;Heart Mug;5;02.12.2010 12:50;3,95;18035
200036;Paper Straw;50;02.12.2010 12:55;0,45;18036
200036;Plastic Cup;50;02.12.2010 12:55;0,75;18036
200037;Paper Cup;40;02.12.2010 13:00;0,79;18037
200037;Plastic Fork;20;02.12.2010 13:00;0,25;18037
200038;Glass Vase;4;02.12.2010 13:05;4,99;18038
200038;Wooden Tray;2;02.12.2010 13:05;5,99;18038
200039;Ceramic Mug;6;02.12.2010 13:10;3,75;18039
200039;Heart Mug;6;02.12.2010 13:10;3,95;18039
200040;Paper Cup;50;02.12.2010 13:15;0,79;18040
200040;Plastic Fork;25;02.12.2010 13:15;0,25;18040
200041;Cotton Napkin;6;02.12.2010 13:20;1,75;18041
